listing_id,avg_sentiment_score,num_rows
2595,0.8278671443333333,48
5121,0.8538349158958334,48
5136,0.7277442016666665,3
5178,0.7512690171301247,561
5203,0.8593612006608696,115
5586,0.8321365604418604,43
5803,0.8331772401415525,219
6848,0.8355149876702703,185
6872,0.943556845,1
6990,0.839755997118644,236
7064,0.891567042076923,13
7097,0.8885273823659307,317
7801,0.7651517392222222,9
8490,0.8623677901656805,169
9357,0.8834339306666668,57
9704,0.8628421643229167,96
10452,0.766928740308642,81
10962,0.8252197948858447,219
11174,0.8742018318987341,79
12192,0.8125131449368421,285
12937,0.847545217965616,349
12940,0.7847527106666666,72
13808,0.8399205718,185
14314,0.8278499704325842,178
14434,0.8290963935689655,58
15341,0.8133517757272727,33
15385,0.9042503810588235,51
15396,0.83827370425,4
16338,0.8571010025483871,31
16580,0.8978050780740741,486
16821,0.8623037159132949,173
16974,0.8337231115475285,263
17037,0.8001245518867924,53
17693,0.8036006908615385,65
18152,0.8327310091428571,147
18728,0.8461948301140351,228
18961,0.768055737,1
19812,0.7814039450350877,57
20913,0.6928318587592592,162
21456,0.8318316355121951,82
21644,0.9441731373333333,3
21794,0.8245846542812499,32
23135,0.8303006674334471,293
23686,0.7151533103728813,59
24285,0.7919813275494505,91
25406,0.8080891413928571,28
25696,0.8580404568064516,186
26785,0.8496132009446808,470
27644,0.8519243795368853,244
27883,0.81584180652,25
28907,0.7983003960476192,21
29013,0.7750811158955224,67
29628,0.8843340264825581,344
31130,0.7630674180588235,68
31555,0.81608861028125,32
31902,0.5815851842499999,4
31994,0.8372005138237547,522
32037,0.8178647596304348,92
33009,0.8645152719407666,287
33156,0.7238658039473684,19
36121,0.9254471856666666,9
36647,0.8331394195342465,73
36703,0.8406031264744525,137
36934,0.7760929510689655,29
38663,0.8423364676666667,42
38833,0.7915619865547946,146
39282,0.8701628435569106,246
39572,0.8844385403953489,43
39593,0.7551892416428572,28
39704,0.8600884487208589,326
42300,0.7415630758428571,70
42729,0.8395894764517767,197
42882,0.847244201920904,177
43105,0.9545975477499999,4
44229,0.843196824900901,222
44973,0.8052796120661158,121
45542,0.776838216,18
45556,0.8895380362724796,367
45737,0.76477386356,25
45910,0.7970892096153845,13
45936,0.8134476184692307,130
46911,0.8349919254492754,69
49048,0.7529312981304348,23
50447,0.8532090782652174,230
52689,0.9079513170377359,53
53469,0.7689055593125,32
53470,0.645208036,6
53477,0.845383672,16
54508,0.8817491035761589,151
54544,0.7785052622033899,118
54694,0.8344303433442622,61
54860,0.8512014019925651,269
55959,0.8770361706145833,96
55982,0.8679047989302325,43
56859,0.84272975246,250
57166,0.862352019232,125
57297,0.8514545831155235,277
57618,0.855834349031746,126
57754,0.8447671676818181,176
57874,0.8618725481522989,348
58059,0.8437487179014085,639
58062,0.89124794752,25
59014,0.791420326637931,58
59121,0.866085425,4
59709,0.8551573915555556,63
60164,0.7410182398888888,108
60181,0.8192825099729729,37
60457,0.8438271701,10
60611,0.8350281187891891,185
60666,0.837391826576,250
60673,0.9401401680000001,3
60680,0.8174037835276073,163
60794,0.82641363125,4
61509,0.7549000944666667,90
62891,0.7359555605045044,222
62925,0.8501385296470588,153
63610,0.8764401361071429,56
63657,0.8146728945450981,255
64107,0.8464054287425743,303
64314,0.76975206625,44
64365,0.8461085240487806,246
64837,0.8272020863229572,257
65425,0.9347962060666667,15
65615,0.854757386625,56
65660,0.8312087703006136,163
65813,0.8348139153,20
66008,0.9008737833134328,67
